id,comment,latine,gallice,genitif,genre
1,thema2,amicus,ami,,m
2,thema2,animus,"coeur, fierté, courage, esprit",,m
3,thema2,annus,année,,m
4,thema2,campus,"plaine, champ",,m
5,thema2,cibus,nourriture,,m
6,thema2,deus,dieu,,m
7,thema2,digitus,doigt,,m
8,thema2,dolus,"ruse, adresse",,m
9,thema2,dominus,"maître, seigneur",,m
10,thema2,equus,cheval,,m
11,thema2,filius,fils,,m
12,thema2,gladius,glaive,,m
13,thema2,humerus,épaule,,m
14,thema2,humus,"sol, terre",,m
15,thema2,lacertus,bras ; pl. muscles,,m
16,thema2,lectus,lit,,m
17,thema2,legatus,"ambassadeur, envoyé, légat",,m
18,thema2,locus,"lieu, endroit - le pluriel est neutre -",,m
19,thema2,lucus,bois sacré,,m
20,thema2,maritus,mari,,m
21,thema2,modus,"mesure, limite, manière",,m
22,thema2,morbus,maladie,,m
23,thema2,mundus,"univers, monde",,m
24,thema2,murus,mur,,m
25,thema2,necessarius,"ami intime, familier",,m
26,thema2,neruus,nerf,,m
27,thema2,numerus,nombre,,m
28,thema2,oculus,oeil,,m
29,thema2,oppidum,"place forte, ville",,m
30,thema2,philosophus,philosophe,,m
31,thema2,populus,peuple,,m
32,thema2,praefectus,"gouverneur, administrateur",,m
33,thema2,reus,accusé,,m
34,thema2,seruus,esclave,,m
35,thema2,somnus,sommeil,,m
36,thema2,taurus,taureau,,m
37,thema2,torus,"renflement, muscle saillant ; lit",,m
38,thema2,tribunus,tribun,,m
39,thema2,uentus,vent,,m
40,thema2,uulgus,"foule, le commun des hommes",,m
41,thema2,aedificium,édifice,,m
42,thema2,aeuum,"époque, durée, âge",,m
43,thema2,argumentum,"argument, preuve, matière, sujet",,m
44,thema2,aruum,terre labourée,,m
45,thema2,aurum,or,,m
46,thema2,auxilium,"aide, secours",,m
47,thema2,bellum,guerre,,m
48,thema2,beneficium,"bienfait, faveur",,m
49,thema2,caelum,"ciel, climat",,m
50,thema2,castellum,"redoute, fortin",,m
51,thema2,collum,cou,,m
52,thema2,consilium,"délibération, décision, conseil, plan",,m
53,thema2,dictum,"chose dite, promesse, proverbe",,m
54,thema2,donum,"présent, cadeau",,m
55,thema2,dubium,doute,,m
56,thema2,exemplum,exemple,,m
57,thema2,exilium,exil,,m
58,thema2,exsilium,exil,,m
59,thema2,factum,"fait, action, travail, ouvrage",,m
60,thema2,fatum,"prédiction, destin, fatalité, destinée",,m
61,thema2,ferrum,"fer, outil ou arme de fer",,m
62,thema2,forum,"marché, forum",,m
63,thema2,fretum,"détroit, mer, flots",,m
64,thema2,frumentum,blé,,m
65,thema2,gaudium,"contentement, satisfaction, joie",,m
66,thema2,impedimentum,obstacle ; au pl. : bagages,,m
67,thema2,imperium,pouvoir absolu,,m
68,thema2,ingenium,"qualités innées, caractère, esprit, intelligence",,m
69,thema2,initium,"début, commencement",,m
70,thema2,interuallum,"intervalle, distance",,m
71,thema2,iudicium,"jugement, décision",,m
72,thema2,iugum,"joug, attelage, chaîne de montagnes, cime, hauteur",,m
73,thema2,malum,pomme,,m
74,thema2,membrum,"i, n. (généralement au plur) : membre, organe",,m
75,thema2,negotium,"occupation, travail, affaire",,m
76,thema2,odium,haine,,m
77,thema2,officium,"fonction, devoir, obligation morale",,m
78,thema2,otium,"loisir, calme, repos",,m
79,thema2,pactum,"pacte, convention, manière",,m
80,thema2,periculum,"danger, essai, expérience",,m
81,thema2,pomum,fruit,,m
82,thema2,praeceptum,"précepte, règle, leçon",,m
83,thema2,praemium,récompense,,m
84,thema2,praesidium,"garde, garnison, protection",,m
85,thema2,pretium,"prix, valeur, récompense, salaire",,m
86,thema2,principium,"commencement, origine",,m
87,thema2,proelium,combat,,m
88,thema2,remedium,remède (+ gén : contre),,m
89,thema2,saeculum,"génération, époque, siècle",,m
90,thema2,saxum,"pierre, rocher, roche",,m
91,thema2,seruitium,"servitude, esclavage",,m
92,thema2,signum,"signe, enseigne, oeuvre d'art",,m
93,thema2,spatium,"vaste étendue, espace (lieu ou temps)",,m
94,thema2,studium,"ardeur, affection, intérêt, passion, étude",,m
95,thema2,supplicium,supplice,,m
96,thema2,tectum,"toit, maison",,m
97,thema2,telum,trait (javelot ou flèche),,m
98,thema2,templum,temple,,m
99,thema2,tergum,dos,,m
100,thema2,tormentum,(intrument de) torture,,m
101,thema2,uallum,"palissade, retranchement",,m
102,thema2,uelum,voile,,m
103,thema2,uerbum,"mot, parole",,m
104,thema2,uestigium,"trace de pas, trace",,m
105,thema2,uinculum,"lien, chaîne",,m
106,thema2,uinum,vin,,m
107,thema2,uitium,"vice, défaut",,m
108,thema2,uotum,"voeu, offrande",,m
109,thema3,aedes,"maison, temple",,m
110,thema3,aequor,"surface plane, poét. mer",,m
111,thema3,aer,air,,m
112,thema3,aes,"cuivre, bronze ; - alienum : dette",,m
113,thema3,aetas,"partie de la vie, âge, époque",,m
114,thema3,agmen,"armée en marche, colonne de marche",,m
115,thema3,altitudo,"altitude, hauteur",,m
116,thema3,amnis,"fleuve, rivière. - commence par la lettre a",,m
117,thema3,amor,amour,,m
118,thema3,animal,"être vivant, animal",,m
119,thema3,apis,abeille,,m
120,thema3,arbor,arbre,,m
121,thema3,ardor,"feu, embrasement, ardeur, passion",,m
122,thema3,ars,"habileté, métier, profession, art",,m
123,thema3,arx,citadelle,,m
124,thema3,auctor,"garant, modèle, auteur",,m
125,thema3,auctoritas,"avis, prestige, autorité, volonté (du Sénat)",,m
126,thema3,auis,oiseau,,m
127,thema3,auris,oreille,,m
128,thema3,beatitudo,bonheur. finit en -o,,m
129,thema3,bos,boeuf,,m
130,thema3,caedes,"meurtre, massacre",,m
131,thema3,canis,chien,,m
